Geographic Information Hemisphere|Geographic Information Continent|Geographic Information WHO region|Geographic Information FLU region|Geographic Information Country, area or territory|Geographic Information  Year|Geographic Information Week|Geographic Information Start date|Geographic Information End date|Geographic Information Age Group|Influenza like illness information Cases|Influenza like illness information Outpatients|Influenza like illness information Population covered|Influenza like illness information Outpatient Rate|Influenza like illness information Pop Rate|Influenza like illness information Sampled cases|Influenza like illness information Influenza positives|Influenza like illness information Influenza negatives|Influenza like illness information COVID-19 tested|Influenza like illness information COVID-19 positives|Influenza like illness information COVID-19 negatives|Influenza like illness information COVID-19 ratio|Severe acute respiratory infection information Cases|Severe acute respiratory infection information Inpatients|Severe acute respiratory infection information Population covered|Severe acute respiratory infection information Inpatient Rate|Severe acute respiratory infection information Pop Rate|Severe acute respiratory infection information Sampled cases|Severe acute respiratory infection information Influenza positives|Severe acute respiratory infection information Influenza negatives|Severe acute respiratory infection information COVID-19 tested|Severe acute respiratory infection information COVID-19 positives|Severe acute respiratory infection information COVID-19 negatives|Severe acute respiratory infection information COVID-19 ratio|Acute respiratory infection information Cases|Acute respiratory infection information Outpatients|Acute respiratory infection information Population covered|Acute respiratory infection information Outpatient Rate|Acute respiratory infection information Pop Rate|Pneumonia information Cases|Pneumonia information Inpatients|Pneumonia information Population covered|Pneumonia information Inpatient Rate|Pneumonia information Pop Rate|Qualitative indicators Geospread|Qualitative indicators Intensity|Qualitative indicators Trend|Qualitative indicators Impact
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|40|2021-10-04|2021-10-10|All|25773|||||24342|3|9||4939||0.85|3934|||||3884|1|15||1679||1.21||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|39|2021-09-27|2021-10-03|All|27019|||||25412|0|5||6067||0.90|4561|||||4485|0|15||2217||1.21||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|38|2021-09-20|2021-09-26|All|31509|||||30059|1|5||8308||0.87|5004|||||4937|0|10||2527||1.19||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|37|2021-09-13|2021-09-19|All|29056|||||27482|3|2||9053||0.89|5569|||||5473|0|7||3200||1.15||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|36|2021-09-06|2021-09-12|All|34157|||||32588|1|6||10706||0.86|6477|||||6354|1|5||3836||1.18||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|35|2021-08-30|2021-09-05|All|36871|||||34892|2|11||13000||0.91|7177|||||7042|0|14||4527||1.18||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|34|2021-08-23|2021-08-29|All|42549|||||40568|5|7||14326||0.93|7571|||||7432|2|8||4782||1.20||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|33|2021-08-16|2021-08-22|All|49144|||||47194|3|9||17531||0.91|9269|||||9084|2|11||6016||1.16||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|32|2021-08-09|2021-08-15|All|55692|||||53160|0|5||20281||0.93|9450|||||9256|0|14||6087||1.21||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|31|2021-08-02|2021-08-08|All|55194|||||53049|1|16||20363||0.98|9483|||||9308|0|15||6227||1.18||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|30|2021-07-26|2021-08-01|All|56198|||||54353|2|16||19835||0.94|8853|||||8671|0|18||5612||1.21||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|29|2021-07-19|2021-07-25|All|52988|||||51286|0|16||17984||0.98|8395|||||8252|0|10||4965||1.24||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|28|2021-07-12|2021-07-18|All|43150|||||41669|0|11||13570||0.99|6680|||||6588|0|11||3570||1.30||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|27|2021-07-05|2021-07-11|All|34236|||||33121|0|17||10317||0.98|5555|||||5471|0|25||2885||1.34||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|26|2021-06-28|2021-07-04|All|27195|||||26129|1|15||6882||0.97|4346|||||4241|0|7||2034||1.25||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|25|2021-06-21|2021-06-27|All|23075|||||22289|0|12||5460||1.05|3586|||||3538|0|8||1453||1.35||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|24|2021-06-14|2021-06-20|All|20866|||||20218|0|14||4569||1.00|3272|||||3240|1|13||1193||1.38||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|23|2021-06-07|2021-06-13|All|18575|||||17917|0|13||3670||1.00|3292|||||3257|0|11||1124||1.22||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|22|2021-05-31|2021-06-06|All|18125|||||17357|0|7||3198||1.01|3125|||||3088|0|12||1033||1.16||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|21|2021-05-24|2021-05-30|All|16686|||||15915|0|9||2653||1.02|2826|||||2804|0|13||786||1.25||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|20|2021-05-17|2021-05-23|All|18877|||||17996|0|7||2422||0.94|3035|||||2994|0|10||823||1.32||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|19|2021-05-10|2021-05-16|All|18161|||||17430|0|9||2211||0.97|3213|||||3169|0|6||977||1.33||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|18|2021-05-03|2021-05-09|All|18135|||||17460|0|8||2148||0.96|3059|||||3013|0|6||976||1.19||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|17|2021-04-26|2021-05-02|All|18723|||||17968|0|12||2553||0.92|3793|||||3721|0|2||1138||1.28||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|16|2021-04-19|2021-04-25|All|19891|||||19106|0|3||2711||0.91|3990|||||3921|0|8||1324||1.13||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|15|2021-04-12|2021-04-18|All|20388|||||19653|0|8||2996||0.91|3987|||||3909|0|9||1490||1.31||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|14|2021-04-05|2021-04-11|All|23193|||||22477|0|1||3605||0.92|4536|||||4432|0|2||1771||1.18||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|13|2021-03-29|2021-04-04|All|18003|||||17276|1|6||3215||0.91|4458|||||4348|1|6||2010||1.29||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|12|2021-03-22|2021-03-28|All|21918|||||21203|0|8||3563||0.91|4278|||||4156|0|5||1759||1.19||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|11|2021-03-15|2021-03-21|All|23612|||||22735|1|4||4044||0.97|5092|||||4951|0|5||2358||1.26||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|10|2021-03-08|2021-03-14|All|23004|||||22110|0|5||4389||0.92|4729|||||4615|0|2||2297||1.31||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|9|2021-03-01|2021-03-07|All|26508|||||25426|0|3||5840||0.92|6149|||||5976|0|8||3112||1.34||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|8|2021-02-22|2021-02-28|All|25164|||||23971|0|1||5592||0.91|5313|||||5149|0|5||2882||1.30||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|7|2021-02-15|2021-02-21|All|27292|||||25943|0|1||6305||0.92|6321|||||6110|0|5||3389||1.23||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|6|2021-02-08|2021-02-14|All|28548|||||26719|0|0||6483||0.92|6581|||||6352|1|5||3717||1.40||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|5|2021-02-01|2021-02-07|All|32305|||||29890|0|1||8371||0.92|8202|||||7922|0|2||4870||1.30||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|4|2021-01-25|2021-01-31|All|37417|||||34485|0|1||10356||0.91|8789|||||8445|0|6||5453||1.41||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|3|2021-01-18|2021-01-24|All|47751|||||44301|0|4||15275||0.92|11030|||||10592|0|4||7350||1.44||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|2|2021-01-11|2021-01-17|All|49188|||||45820|1|5||17583||0.85|12299|||||11747|0|5||8338||1.33||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|1|2021-01-04|2021-01-10|All|48764|||||44587|0|6||18662||0.87|11582|||||11058|0|4||7859||1.32||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|53|2020-12-28|2021-01-03|All|41394|||||37985|0|7||16373||0.87|3271|12182||26.85||3163|0|3||2147||1.34||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|52|2020-12-21|2020-12-27|All|34997|||||31529|0|0||12700||0.88|2996|13035||22.98||2881|0|2||1795||1.55||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|51|2020-12-14|2020-12-20|All|38462|||||34912|0|1||13369||0.89|2963|15643||18.94||2864|0|4||1789||1.31||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|50|2020-12-07|2020-12-13|All|39446|||||35671|0|1||13991||0.89|2917|15773||18.49||2841|0|4||1808||1.41||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|49|2020-11-30|2020-12-06|All|39354|||||35367|0|1||13460||0.87|2559|15444||16.57||2493|0|7||1540||1.40||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|48|2020-11-23|2020-11-29|All|34650|||||31341|0|7||12192||0.86|2392|16011||14.94||2325|0|2||1442||1.48||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|47|2020-11-16|2020-11-22|All|32193|||||28943|0|4||12478||0.87|2247|15562||14.44||2192|0|3||1290||1.43||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|46|2020-11-09|2020-11-15|All|28400|||||25398|0|3||10987||0.87|2324|16525||14.06||2280|0|5||1317||1.32||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|45|2020-11-02|2020-11-08|All|28085|||||25055|0|3||11227||0.88|2108|15724||13.41||2056|0|4||1148||1.28||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|44|2020-10-26|2020-11-01|All|25400|||||22215|0|2||8997||0.89|1844|15363||12.00||1804|0|4||932||1.45||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|43|2020-10-19|2020-10-25|All|28035|||||24795|0|2||10111||0.87|2083|16152||12.90||2035|0|6||1053||1.42||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|42|2020-10-12|2020-10-18|All|24306|||||21301|0|4||8976||0.85|2027|16604||12.21||1971|0|6||1073||1.31||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|41|2020-10-05|2020-10-11|All|23313|||||20433|0|5||8581||0.88|1843|16568||11.12||1802|0|4||972||1.55||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|40|2020-09-28|2020-10-04|All|22783|||||19857|0|9||7453||0.89|1963|15994||12.27||1912|1|6||992||1.56||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|39|2020-09-21|2020-09-27|All|22051|||||19416|0|2||7354||0.88|1823|15853||11.50||1773|0|4||934||1.49||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|38|2020-09-14|2020-09-20|All|20115|||||17348|0|3||7016||0.87|1839|15616||11.78||1780|0|2||984||1.38||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|37|2020-09-07|2020-09-13|All|21125|||||18252|1|0||7067||0.92|2043|15847||12.89||1984|0|1||1124||1.37||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|36|2020-08-31|2020-09-06|All|25362|||||21545|0|1||8194||0.89|2204|15697||14.04||2157|0|7||1221||1.32||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|35|2020-08-24|2020-08-30|All|23204|||||19617|0|2||8187||0.90|2421|14788||16.37||2367|0|3||1361||1.44||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|34|2020-08-17|2020-08-23|All|23753|||||19931|0|0||8975||0.90|2380|14919||15.95||2315|0|8||1388||1.53||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|33|2020-08-10|2020-08-16|All|23991|||||19712|0|1||8823||0.92|2750|14645||18.78||2683|0|3||1650||1.50||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|32|2020-08-03|2020-08-09|All|23346|||||18954|0|0||8605||0.92|2854|14545||19.62||2750|0|2||1774||1.43||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|31|2020-07-27|2020-08-02|All|25396|||||20153|0|1||9762||0.92|3177|14025||22.65||3064|0|1||2112||1.36||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|30|2020-07-20|2020-07-26|All|27758|||||21950|0|1||10659||0.98|3368|14367||23.44||3269|0|4||2268||1.43||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|29|2020-07-13|2020-07-19|All|27214|||||21791|0|2||10923||0.99|3493|14479||24.12||3371|0|1||2319||1.38||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|28|2020-07-06|2020-07-12|All|27427|||||21873|0|0||10725||0.95|3361|14325||23.46||3276|1|3||2232||1.58||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|27|2020-06-29|2020-07-05|All|28550|||||22466|0|1||10636||0.96|3227|13811||23.37||3080|0|3||2122||1.39||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|26|2020-06-22|2020-06-28|All|26611|||||19022|1|0||9340||0.97|3276|13525||24.22||3174|0|1||2218||1.49||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|25|2020-06-15|2020-06-21|All|23998|||||18936|0|2||9144||0.95|3271|13804||23.70||3113|0|4||2078||1.64||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|24|2020-06-08|2020-06-14|All|20713|||||17418|1|1||8074||0.98|2988|13466||22.19||2870|1|5||1977||1.61||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|23|2020-06-01|2020-06-07|All|19287|||||16526|0|0||7102||0.98|2969|13144||22.59||2859|0|2||1921||1.60||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|22|2020-05-25|2020-05-31|All|17185|||||14932|0|0||6085||1.00|2762|12914||21.39||2678|0|3||1773||1.67||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|21|2020-05-18|2020-05-24|All|15013|||||12848|0|2||5257||1.09|2674|13574||19.70||2616|1|3||1616||1.65||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|20|2020-05-11|2020-05-17|All|12511|||||10524|5|0||4169||1.02|2449|13312||18.40||2401|1|6||1450||1.74||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|19|2020-05-04|2020-05-10|All|9828|||||8018|2|2||3037||1.09|2202|13025||16.91||2173|9|7||1180||1.80||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|18|2020-04-27|2020-05-03|All|8296|||||6522|3|0||2422||1.11|2102|13163||15.97||2024|2|2||1171||2.11||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|17|2020-04-20|2020-04-26|All|7223|||||5238|5|1||1845||1.25|1754|13821||12.69||1688|0|6||925||2.16||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|16|2020-04-13|2020-04-19|All|6750|||||4775|2|1||1368||1.19|1136|14372||7.90||1112|0|20||552||1.73||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|15|2020-04-06|2020-04-12|All|6451|||||4502|10|2||1040||1.30|843|13917||6.06||821|6|19||330||1.58||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|14|2020-03-30|2020-04-05|All|5410|||||3379|28|2||700||1.10|501|15501||3.23||488|20|22||117||2.16||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|13|2020-03-23|2020-03-29|All|4599|||||2803|37|2||422||1.15|424|17206||2.46||403|24|14||42||2.23||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|12|2020-03-16|2020-03-22|All|3206|||||1835|89|2||224||1.55|344|20227||1.70||324|51|10||10||9.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|11|2020-03-09|2020-03-15|All|2349|||||1123|149|9||172||1.46|262|22893||1.14||249|55|8||1||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|10|2020-03-02|2020-03-08|All|1904|||||544|169|7||26||1.36|296|23464||1.26||276|53|11||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|9|2020-02-24|2020-03-01|All|1922|||||542|232|7||3||0.00|332|22481||1.48||306|81|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|8|2020-02-17|2020-02-23|All|1850|||||462|223|3||1||0.00|318|23372||1.36||300|74|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|7|2020-02-10|2020-02-16|All|1853|||||493|248|1||0||0.00|373|23702||1.57||342|112|14||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|6|2020-02-03|2020-02-09|All|1763|||||414|209|0||0||0.00|353|22613||1.56||323|100|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|5|2020-01-27|2020-02-02|All|1858|||||473|237|3||0||0.00|358|22974||1.56||346|117|8||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|4|2020-01-20|2020-01-26|All|2013|||||544|310|2||0||0.00|360|23573||1.53||341|93|6||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|3|2020-01-13|2020-01-19|All|1876|||||502|277|3||0||0.00|356|24048||1.48||311|100|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|2|2020-01-06|2020-01-12|All|1331|||||367|167|4||0||0.00|286|22888||1.25||262|60|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2020|1|2019-12-30|2020-01-05|All|528|||||131|54|1||0||0.00|54|16260||0.33||49|13|1||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|52|2019-12-23|2019-12-29|All|1081|||||248|125|1|||||244|24061||1.01||224|65|2||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|51|2019-12-16|2019-12-22|All|1041|||||264|125|3|||||298|26746||1.11||279|52|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|50|2019-12-09|2019-12-15|All|1075|||||240|72|3|||||317|28465||1.11||307|39|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|49|2019-12-02|2019-12-08|All|825|||||252|66|1|||||284|28672||0.99||272|25|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|48|2019-11-25|2019-12-01|All|725|||||214|52|1|||||307|28280||1.09||290|22|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|47|2019-11-18|2019-11-24|All|658|||||201|31|2|||||253|26533||0.95||237|17|7||0||0.00||||||||||||||
