Country, area or territory|Received/ collected|Processed|A(H1N1)pdm09|A (H3)|A (H5)|A (not subtyped)|A (Total)|B (Yamagata lineage)|B (Victoria lineage)|B (lineage not determined)|B (Total)|Total number of influenza positive viruses|Total number of influenza negative viruses|ILI activity
Saint Lucia| |0|0|0| |0|0|0|0|0|0|0| |No Report
Saint Vincent and the Grenadines| |0| | | | |0| | | |0|0| |No Report
Saudi Arabia|10|5| | | | |0| | |1|1|1|1|No Report
Senegal| |6|0|0|0|0|0|0|0|0|0|0|6|No Report
Serbia| |88|1|29| |0|30|0|0|2|2|32| |No Report
Singapore|49|49|0|0|0|0|0|0|0|0|0|0|49|Local Outbreak
Slovakia| |36|0|0| |2|2|0|0|0|0|2| |No Report
Slovenia| |983|0|71| |16|87|0|0|0|0|87| |No Report
Spain| |7706|4|107| |399|510|0|0|1|1|511| |No Report
Suriname| |0|0|0| |0|0|0|0|0|0|0| |No Report
Sweden| |7219|0|41| |358|399|0|0|9|9|408| |No Report
Switzerland| |59|2|32| |783|817|0|0|1|1|818| |No Report
Tajikistan| |0|0|0| |0|0|0|0|0|0|0| |No Report
Thailand|7|7|0|0|0|0|0|0|0|0|0|0|7|No Report
Togo|36|36|0|4|0|1|5|0|0|0|0|5|31|No Report
Trinidad and Tobago| |0| | | | |0| | | |0|0| |No Report
Tunisia|62|62|0|0|0|0|0|0|0|0|0|0|62|No Report
Turks and Caicos Is.| |0| | | | |0| | | |0|0| |No Report
Uganda|27|27|0|0|0|0|0| |0|0|0|0|27|No Report
Ukraine| |57|0|0| |0|0|0|0|0|0|0| |No Report
United Arab Emirates|24|24|0|0| | |0|0|0| |0|0|24|No Report
United Kingdom of Great Britain and Northern Ireland| |9320|4|46| |65|115|0|0|0|0|115| |No Report
United States of America|56990|56990|0|321| |4115|4436|0|0|20|20|4456|52534|No Report
Uruguay| |23|0|3| |0|3|0|0|0|0|3|20|No Report
Uzbekistan| |2|0|0| |0|0|0|0|0|0|0| |No Report
Venezuela (Bolivarian Republic of)| |0| | | | |0| | | |0|0| |No Report
Viet Nam|2|2|0|0|0|0|0|0|0|0|0|0|2|Sporadic
Zambia|27|25|0|0|0|0|0|0|0|0|0|0| |No Report
